label	company_name
152	Admiral Permian Resources
13	Perrigo
78	Ramky Enviro Engineers
72	Abu Dhabi Commercial Bank
73	Brown-Forman Corp.
19	Pegasus Resources
0	Delonex Energy
88	Wilton Re
163	MaxCap Group
19	Zenith Energy Management
169	Suning Sports
74	Olympus
214	AMC Entertainment Holdings
18	China Biologic Products
66	Kumho Tire Co., Inc.
40	Mevion Medical Systems
127	Vonage
121	Folhamatic
85	Permanent TSB
186	iFood
104	Square
105	BlueVine
192	Weimob
98	Zuoyebang
89	17zuoye
68	Truphone
84	Atom Bank
174	Zenefits
142	ZeniMax
39	ViewRay
65	Shouqi Car Rental
113	Shriram City Union Finance
194	Dataminr
212	TaTaTu Enterprises
207	JDA Software
152	Apex International Energy
106	Tuhu
84	Aura
199	Zymergen
190	Casey's General Stores
43	Frontier Car Group
12	GW Pharmaceuticals
175	ACCIONA
59	First Wind
26	Alere
48	FlixMobility
2	Sonnedix
9	GreatPoint Energy
68	VeloCom
10	Capistrano Wind Partners, LLC
110	Knotel
70	Innovent Biologics
54	Good Technology
205	IronSource
131	Rubrik
78	Amyris Biotechnologies
199	CloudWalk Technology
59	Ansaldo Energia
122	B&G Foods
113	Yintai Group
47	HCR ManorCare
73	Luckin Coffee
121	Automation Anywhere
32	Guardant Health
86	Dianrong
48	MakeMyTrip.com
36	NantHealth
172	Coinbase
79	Hyperoptic
113	HighTower Advisors
54	Kaseya
92	Yuanfudao
114	Idea Cellular
194	ThoughtSpot
27	Vir Biotechnology
75	Commercial International Bank
140	PAX Labs
13	Melinta
96	Rent the Runway
60	G4S
196	Pateo
147	M.Setek
140	Pioneer Corporation
46	Getinge
121	DocuSign
43	Deem
43	Volvo Cars Group
45	Lightsource Renewable Energy
80	ChargePoint
30	One Medical
164	Promasidor
121	Hundsun Technologies
121	Upland Software
202	Pure Storage
62	Samsara
132	Terminus Technologies
88	Ryan Specialty Group
65	Root Insurance
75	Hamilton Insurance Group
117	Vacasa
37	ADC Therapeutics
183	TMON
209	Sirius XM Radio
19	FourPoint Energy, LLC
19	Origo Exploration
11	Mojave Pharma
19	LongPoint Minerals
59	Invenergy
90	KLOOK
84	CGTZ
28	Tempus
163	OASIS Holding Company
38	Relay Therapeutics
84	Kreditech
113	Seaborn Networks
149	dormakaba Holding AG
139	Shanda Games
35	Huimin
200	Sogou
12	Stemcentrx
208	Tottenham Hotspur
27	Horizon Pharma
190	Yijiupi
56	HomeAway
87	Premia Holdings
51	G7
164	National Tobacco Enterprise
186	Xiabu Xiabu
45	Spruce Finance
78	A123 Systems
157	Haier
121	Wangsu Science & Technology
160	Irish Residential Properties
30	United Imaging Healthcare
136	PhonePe
191	The Honest Company
48	Mafengwo
97	Zhangmen
217	Toast
167	Welcome Group
203	Cox Communications
141	Krafton
102	Outcome Health
72	KeyCorp
190	Yiguo.com
88	Sedgwick Claims Management Services
19	Magna Energy
98	TAL Education Group
43	FreightRover
160	Ezdan Holding
117	Viking Cruises
49	Seaspan Corporation
190	Hudson’s Bay Company
18	Sanfer
52	BluJay Solutions
85	KB Financial Group
85	Berenberg
163	Cologix
51	Canadian Pacific
165	Zhuanzhuan
171	Trebuchet Holdings
181	Zhone Technologies
160	Swire Properties
0	Mazarine Energy
0	Independence Resources Management
19	RimRock Oil & Gas
19	Three Rivers Natural Resource Holdings III
168	Netafim
201	Veeam Software
82	Berlin Packaging
10	CSV Midstream Solutions
9	First Gen Corporation
152	Siccar Point Energy
85	Home Capital Group
79	NTS, Inc.
34	ole
142	Technicolor
19	Sage Midstream Ventures
121	CHC Helicopter
122	Hotel Equities
170	Supreme
21	Betta Pharmaceuticals
24	Ablynx
115	InSite Wireless
205	Qutoutiao
136	PolicyBazaar
227	Hisign Technology
220	BuzzFeed
57	Aligned Energy
82	Eclipse Aviation Corporation
163	Cholamandalam
45	Nanosolar
155	Datapipe
4	Mosaic
76	OZON.ru
99	Proteus Digital Health
196	MiningLamp
176	WSP Global
113	Future Finance
169	Steinhoff Asia Pacific
218	Woowa Bros
66	Proterra
56	TripActions
61	CrowdStrike
10	Grupo Electro Stocks
43	Gogoro
40	Gossamer Bio
87	Lemonade
0	Aibel
73	Sweetgreen
51	Cabify
28	HeartFlow
227	iHeartMedia
93	inVentiv Health
115	Looking Glass Networks
59	Indian Energy Exchange
214	Bona Film Group
68	Zayo
19	InterOil Corporation
221	Niantic
70	Harmony Biosciences
65	Tracker Connect
24	Reata Pharmaceuticals
25	Humacyte
172	tZero
4	SoloPower
9	Bulgarian Energy Holding (BEH)
106	Vroom
48	China Eastern Airlines
66	Nikola Motor Company
58	Symphony Communication Services
169	Yum! China
145	American Media
67	Souq
142	Bigpoint
227	Hana Financial
17	TESARO
66	Zhidou
52	Singapore Post
200	Nextdoor
74	Sonos
158	OCI Partners LP
32	WuXi NextCODE
66	Perusahaan Otomobil Nasional Sdn Bhd
150	Alien Technology
121	Verafin
68	Gogo
31	Rakuten Medical
190	Chewy
86	GenWorth
51	Dianwoda
154	Corning
163	Muthoot Finance Ltd.
78	Microvast
60	Vector Security
113	TMX Finance Family of Companies
173	TransPerfect
66	BYD
32	Hologic
156	Azul SA
149	Tyco Electronics Group
48	BlaBlaCar
105	Carta
88	Phoenix Insurance Company
132	Iflytek
227	Great Barrier Reef Foundation
158	Origin Enterprises
41	Crucell
84	PaymentSense
163	Mirae Asset Global Investments
211	TriNet
178	SmileDirectClub
191	1919 Wines & Spirits
29	Tandem Diabetes Care
102	Collective Health
2	Azure Power
216	Naver Corporation
31	SAGE Therapeutics
49	Turo
10	PPC
81	Desktop Metal
227	eClerx
132	GitLab
113	Dealertrack
177	Landa Digital Printing
216	Sigma Networks
6	Knock
6	Piramal Realty
104	Fundbox
163	The PRS REIT
66	YinLong Group
166	QuEST Global Services
199	DataRobot
68	eir
18	Aurora Cannabis
59	Enovos
38	PTC Therapeutics
184	Mobilitie
105	WeLab
113	Lendify
173	Thumbtack
186	Zume Pizza
20	Constellation Pharmaceuticals
144	Charlotte's Web
86	Funding Circle
201	OutSystems
220	Abril
131	Xunlei
114	Dark Fibre Africa
167	COEMAC
104	Remitly
68	IP Communications
39	Intercept Pharmaceuticals
65	eHi Car Rental
77	Xiaohongshu
84	Monzo
68	Com Hem
208	Setanta
143	FanDuel
86	Prosper Marketplace
163	Cutwater Asset Management
10	Raven Power Finance
113	Spandana Sphoorty Financial Limited
20	TherapeuticsMD
86	Bond Street
170	MOGU
152	American Petroleum Partners
21	CStone Pharmaceuticals
0	AC Energy
189	Cohesity
227	CM Group
219	comScore
11	Bluebird Bio
103	Elevance Renewable Sciences
113	WorldRemit
11	Synergy Pharmaceuticals
154	Tatfook
100	Essence Group Holdings
41	Adaptive Biotechnologies
32	QuantRx Biomedical
157	Calient Technologies
58	vXchnge
125	Apttus
205	Yimidida
213	Carolina BroadBand
130	MANGO BCN
116	Cell C
66	Leapmotor
201	Netskope
0	Regency Energy Partners
163	India Grid Trust
7	JSW Steel
185	Fujian Sunner Development
96	American Eagle Outfitters
175	Calgon Carbon Corporation
217	Qualtrics
163	Revenue-Share Capital
23	HEC Pharm
139	Brash Entertainment
160	CloudKitchens
153	ION Investment Group
30	Teleflex
104	China Pacific Insurance
84	UnionBank of the Philippines
19	Ameredev
19	WaterBridge Resources
88	Hyperion Insurance Group
97	Laureate Education
58	Freshworks
94	Aimmune Therapeutics
84	C2FO
66	Aston Martin
39	Dicerna Pharmaceuticals
57	Movile
201	Nutanix
67	Webvan
55	KnowBe4
201	VMware
105	Lending Club
230	Foursquare
22	Finisar
213	Cogeco Cable
