0,1,2
-7.536085,5.5089393,0.31898627
1.2340158,13.951514,-1.4748147
2.7668025,-3.9688056,-2.5297475
3.933289,4.668165,-11.712083
-3.9997442,4.5997386,-11.548926
1.7173522,-9.447973,9.899163
-7.057195,-3.85655,-12.028313
2.36557,-3.6065965,-2.9008048
8.818535,4.9273458,-4.263503
4.1170034,-6.2889614,6.3479834
5.4862466,0.389363,-7.8627124
7.913389,-0.5630117,2.9479873
-0.50711995,11.180942,2.9242244
6.6979566,3.467086,0.87378424
-6.4205523,-3.380535,6.544125
7.9013877,-9.970801,5.7570415
4.11705,-6.2812395,6.3458195
6.9000583,1.5527307,-2.2127876
0.03320729,-8.011779,10.596202
4.059879,-4.501324,10.725017
6.4577646,-7.8101883,5.234128
0.73578787,-3.117713,-4.4624295
1.4035624,5.1524878,-12.70422
5.124834,4.7166014,9.8565235
5.3766675,-4.9076667,10.296613
3.0788643,5.8514524,-0.23766766
5.7351785,-1.1610798,11.791371
6.568494,-2.7765243,10.479679
1.2967068,13.832842,-1.4827061
1.9609236,8.984783,-6.7834806
2.3028758,3.3425663,-5.760663
-2.8704858,0.09285401,3.4290242
-0.73782593,3.1230967,12.415942
6.6124845,6.547599,7.100617
-0.38842613,11.238085,2.9868205
8.064606,3.8009408,8.13205
-13.484657,-2.4604666,0.84923
2.7600102,1.3542522,10.351005
5.155487,0.8124868,10.791206
1.9214171,-3.8339882,-3.0515578
-11.05485,5.774223,-0.80974686
7.3911767,1.4011824,-1.8709649
-10.736056,3.0151396,-1.5744513
-12.169473,4.420749,1.2524452
-1.2999032,-3.6375077,7.956053
6.0460773,-4.6583967,3.1992426
5.8215823,6.0932765,5.1489215
12.222241,-2.3560631,-5.813592
8.10381,-6.97781,-5.289103
4.094502,5.769401,-8.9485035
8.077133,5.8138328,2.6653311
-10.044657,-5.2132444,-4.4412603
-2.1591942,13.159231,1.5276176
-4.5821843,-2.7978485,-9.324161
7.1286516,-10.601496,-5.3297973
6.534444,-6.927782,0.37724727
-4.6496663,-2.4042141,7.2631407
12.422633,-3.5378954,-4.9014173
-4.018168,-0.40152344,2.6671112
6.999636,-8.207269,5.9179835
6.9335074,-10.617995,-5.614711
1.0282885,4.321928,-11.278055
0.19137022,-6.1273413,7.949454
1.1931628,0.07274719,12.673681
-5.2524753,2.1286688,-2.894001
9.594877,4.1024756,7.8239694
5.109129,4.7239475,9.853558
2.3257349,13.470462,1.5614264
-4.0776796,4.223876,10.974526
6.781039,-3.6214917,-7.3683105
9.106112,-2.7315974,-8.58884
